text,label
The city council approved a new public library after a vote held on Monday.,1
Researchers at the university published a study on renewable energy efficiency.,1
The national weather service issued a rainfall warning for several districts.,1
The school announced that the annual examination schedule will be released next week.,1
A local hospital opened a new emergency care unit to improve patient services.,1
The railway department announced additional trains for the holiday season.,1
Scientists reported that the new telescope will be used to study distant galaxies.,1
The government released an official report on the country's economic growth.,1
The university introduced a scholarship program for eligible students.,1
The technology company announced a software update with improved security features.,1
The agriculture department advised farmers to follow the latest crop advisory.,1
The election commission published the official dates for the upcoming local elections.,1
The museum will remain closed on Monday for routine maintenance.,1
The transport authority announced changes to bus routes beginning next month.,1
A research team developed a new method for improving water purification.,1
The health department released an advisory encouraging people to maintain good hygiene.,1
The central bank announced that interest rates would remain unchanged this month.,1
The city administration started a tree-planting program in several public areas.,1
The education board released guidelines for schools regarding the new academic year.,1
The space agency confirmed the successful launch of its communication satellite.,1
Scientists have discovered a secret fruit that can make humans live for 200 years.,0
Drinking one glass of a special liquid can instantly remove every disease from the body.,0
A hidden city has reportedly been discovered beneath the ocean and contains unlimited gold.,0
Experts claim that keeping a mobile phone under a pillow will charge it without electricity.,0
A mysterious celebrity announced that the moon will become brighter than the sun next week.,0
Eating only chocolate for seven days will reportedly make students permanently smarter.,0
An unknown organization claims that ordinary water can turn into petrol overnight.,0
A viral message says that switching off all household lights for ten minutes will stop climate change.,0
A social media post claims that a common household plant can replace every medical treatment.,0
A website reported that people can become invisible by wearing a particular color of clothing.,0
A viral article claims that computers can predict the exact date of every person's future.,0
An online post says that placing a phone in rice can increase its internet speed ten times.,0
A fabricated report claims that a small village has received a government grant worth a trillion dollars.,0
A viral story says that scientists have created a machine that can stop time for several minutes.,0
An internet article claims that sleeping for two hours is healthier than sleeping for eight hours for everyone.,0
A social media rumor says that a secret button on every phone can provide unlimited free internet.,0
A false report claims that a newly discovered mineral can produce electricity forever without energy input.,0
An online rumor says that a common kitchen ingredient can make any person instantly fluent in every language.,0
A viral post claims that the government has approved a device that can read everyone's thoughts remotely.,0
A fabricated news story says that scientists have successfully moved an entire city to another country overnight.,0
